,why_mode
0,"[{'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
2,"[{'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
3,[]
4,"[{'score': 0.64781, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
5,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.610552, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7,"[{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.588596, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
8,
9,[]
10,"[{'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
11,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
12,[]
13,"[{'score': 0.908301, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
14,"[{'score': 0.569126, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
15,
16,"[{'score': 0.975783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
17,
18,"[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
19,"[{'score': 0.534976, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.833309, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
21,[]
22,
23,[]
24,[]
25,"[{'score': 0.668726, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
26,"[{'score': 0.558097, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.735644, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
27,
28,[]
29,"[{'score': 0.592858, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
30,"[{'score': 0.711903, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
31,"[{'score': 0.998921, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
32,[]
33,[]
34,"[{'score': 0.582542, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
35,"[{'score': 0.778006, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
36,"[{'score': 0.58203, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
37,"[{'score': 0.557017, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
38,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
39,
40,"[{'score': 0.997741, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
41,"[{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
42,[]
43,"[{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
44,"[{'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
45,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
46,"[{'score': 0.63048, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
47,"[{'score': 0.641259, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.963472, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.761262, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
48,"[{'score': 0.580206, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.650466, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
49,
50,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
51,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
52,"[{'score': 0.85365, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
53,"[{'score': 0.754393, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
