,remote_changes
0,"[{'score': 0.758976, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
1,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2,[]
3,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
4,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
5,[]
6,"[{'score': 0.994551, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
7,[]
8,[]
9,[]
10,[]
11,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
12,"[{'score': 0.502194, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
13,[]
14,[]
15,"[{'score': 0.703409, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
16,[]
17,
18,"[{'score': 0.672519, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
19,"[{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
21,[]
22,[]
23,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
24,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
25,[]
26,"[{'score': 0.649507, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.840228, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
27,"[{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
28,"[{'score': 0.979617, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
29,"[{'score': 0.580729, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.702145, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
30,"[{'score': 0.628332, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
31,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
32,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
33,[]
34,[]
35,[]
36,"[{'score': 0.555764, 'tone_id': 'fear', 'tone_name': 'Fear'}]"
37,"[{'score': 0.87913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
38,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
39,"[{'score': 0.513542, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
40,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
41,"[{'score': 0.631794, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.677232, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
42,"[{'score': 0.522285, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
43,"[{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
44,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
45,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
46,"[{'score': 0.536923, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.743682, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
47,"[{'score': 0.513823, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
48,"[{'score': 0.522628, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.863333, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
49,[]
50,[]
51,"[{'score': 0.697586, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.947344, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
52,"[{'score': 0.61644, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.883574, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
53,"[{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
54,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.70123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
55,[]
57,[]
58,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
59,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
60,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
61,
